Real Draw,Main Combinations,MegaBall
"([50, 9, 8, 12, 70], 22)","[9, 70, 14, 12, 50]",11
"([50, 9, 8, 12, 70], 22)","[50, 70, 8, 9, 12]",22
"([50, 9, 8, 12, 70], 22)","[50, 12, 8, 70, 9]",22
"([50, 9, 8, 12, 70], 22)","[42, 12, 51, 13, 70]",12
"([50, 9, 8, 12, 70], 22)","[9, 51, 38, 61, 50]",2
"([50, 9, 8, 12, 70], 22)","[70, 8, 12, 9, 50]",22
"([29, 46, 62, 58, 13], 12)","[46, 7, 29, 56, 58]",2
"([29, 46, 62, 58, 13], 12)","[58, 62, 29, 46, 13]",12
"([29, 46, 62, 58, 13], 12)","[46, 13, 62, 29, 58]",12
"([29, 46, 62, 58, 13], 12)","[23, 13, 58, 66, 16]",21
"([29, 46, 62, 58, 13], 12)","[46, 13, 29, 58, 62]",12
"([29, 46, 62, 58, 13], 12)","[58, 29, 38, 43, 62]",18
